#,color_id,product_id,size_id,unit_in_order,unit_in_stock
1,3677,1655,798,7,18
2,3677,1655,799,6,34
3,3677,1655,800,8,36
4,3677,1655,801,3,34
5,3677,1655,802,8,47
6,3677,1655,803,4,40
7,3678,1655,798,1,30
8,3678,1655,799,8,20
9,3678,1655,800,9,25
10,3678,1655,801,1,18
11,3678,1655,802,4,43
12,3678,1655,803,8,20
13,3679,1655,798,3,20
14,3679,1655,799,5,36
15,3679,1655,800,0,19
16,3679,1655,801,9,22
17,3679,1655,802,8,18
18,3679,1655,803,7,29
19,3680,1655,798,1,21
20,3680,1655,799,0,16
21,3680,1655,800,3,32
22,3680,1655,801,5,27
23,3680,1655,802,2,35
24,3680,1655,803,6,17
25,3681,1655,798,2,18
26,3681,1655,799,6,32
27,3681,1655,800,2,22
28,3681,1655,801,3,39
29,3681,1655,802,1,32
30,3681,1655,803,0,13
31,3682,1655,798,1,34
32,3682,1655,799,1,22
33,3682,1655,800,3,23
34,3682,1655,801,5,43
35,3682,1655,802,5,16
36,3682,1655,803,0,38
37,3683,1655,798,7,25
38,3683,1655,799,6,45
39,3683,1655,800,4,42
40,3683,1655,801,7,45
41,3683,1655,802,0,18
42,3683,1655,803,4,14
43,3684,1655,798,7,35
44,3684,1655,799,8,27
45,3684,1655,800,6,16
46,3684,1655,801,0,12
47,3684,1655,802,1,29
48,3684,1655,803,7,45
49,3685,1656,836,9,35
50,3685,1656,895,9,27
51,3685,1656,838,7,19
52,3685,1656,839,3,42
53,3685,1656,841,4,15
54,3685,1656,842,5,24
55,3685,1656,843,4,36
56,3685,1656,845,5,23
57,3685,1656,846,5,30
58,3685,1656,847,5,18
59,3685,1656,849,1,17
60,3685,1656,850,2,32
61,3685,1656,851,7,39
62,3685,1656,853,2,22
63,3685,1656,854,5,18
64,3685,1656,855,2,20
65,3685,1656,857,6,32
66,3685,1656,858,8,41
67,3685,1656,859,8,38
68,3685,1656,804,5,21
69,3685,1656,805,8,31
70,3685,1656,806,7,18
71,3685,1656,860,9,30
72,3685,1656,861,8,35
73,3685,1656,862,1,17
74,3685,1656,807,3,26
75,3685,1656,808,1,12
76,3685,1656,809,4,35
77,3686,1656,836,9,48
78,3686,1656,895,8,23
79,3686,1656,838,5,15
80,3686,1656,839,9,22
81,3686,1656,841,7,31
82,3686,1656,842,7,37
83,3686,1656,843,3,24
84,3686,1656,845,9,20
85,3686,1656,846,8,36
86,3686,1656,847,7,26
87,3686,1656,849,5,44
88,3686,1656,850,3,31
89,3686,1656,851,1,18
90,3686,1656,853,8,39
91,3686,1656,854,0,17
92,3686,1656,855,7,45
93,3686,1656,857,0,27
94,3686,1656,858,8,47
95,3686,1656,859,2,40
96,3686,1656,804,5,30
97,3686,1656,805,5,31
98,3686,1656,806,8,43
99,3686,1656,860,9,28
100,3686,1656,861,7,38
101,3686,1656,862,9,38
102,3686,1656,807,9,20
103,3686,1656,808,4,28
104,3686,1656,809,0,31
105,3687,1657,798,0,39
106,3687,1657,799,5,31
107,3687,1657,800,0,14
108,3687,1657,801,1,39
109,3687,1657,802,7,33
110,3687,1657,803,3,42
111,3688,1657,798,0,27
112,3688,1657,799,3,36
113,3688,1657,800,2,39
114,3688,1657,801,3,40
115,3688,1657,802,2,41
116,3688,1657,803,8,25
117,3689,1658,798,2,33
118,3689,1658,799,3,32
119,3689,1658,800,1,40
120,3689,1658,801,8,46
121,3689,1658,802,8,42
122,3689,1658,803,6,45
123,3690,1658,798,7,45
124,3690,1658,799,3,24
125,3690,1658,800,7,17
126,3690,1658,801,4,20
127,3690,1658,802,7,38
128,3690,1658,803,1,32
129,3691,1658,798,2,29
130,3691,1658,799,0,30
131,3691,1658,800,9,40
132,3691,1658,801,9,34
133,3691,1658,802,1,26
134,3691,1658,803,4,24
135,3692,1658,798,5,39
136,3692,1658,799,0,24
137,3692,1658,800,1,14
138,3692,1658,801,6,34
139,3692,1658,802,1,39
140,3692,1658,803,4,37
141,3693,1659,877,8,45
142,3693,1659,878,9,42
143,3693,1659,870,0,20
144,3693,1659,872,0,21
145,3693,1659,874,4,35
146,3693,1659,876,4,20
147,3693,1659,879,1,36
148,3694,1660,870,7,29
149,3694,1660,871,8,29
150,3694,1660,872,0,22
151,3694,1660,873,7,21
152,3694,1660,874,1,20
153,3694,1660,875,0,12
154,3694,1660,876,8,22
155,3695,1660,870,3,41
156,3695,1660,871,8,46
157,3695,1660,872,3,24
158,3695,1660,873,5,15
159,3695,1660,874,4,34
160,3695,1660,875,8,39
161,3695,1660,876,5,28
162,3696,1661,798,5,32
163,3696,1661,799,3,29
164,3696,1661,800,5,18
165,3696,1661,801,9,35
166,3696,1661,802,2,29
167,3696,1661,803,4,36
168,3697,1661,798,2,32
169,3697,1661,799,3,16
170,3697,1661,800,4,24
171,3697,1661,801,6,28
172,3697,1661,802,8,33
173,3697,1661,803,3,31
174,3698,1661,798,4,16
175,3698,1661,799,4,19
176,3698,1661,800,5,40
177,3698,1661,801,8,37
178,3698,1661,802,9,27
179,3698,1661,803,6,31
180,3699,1661,798,0,27
181,3699,1661,799,3,15
182,3699,1661,800,1,22
183,3699,1661,801,3,14
184,3699,1661,802,4,31
185,3699,1661,803,8,20
186,3700,1661,798,6,19
187,3700,1661,799,7,42
188,3700,1661,800,1,32
189,3700,1661,801,3,19
190,3700,1661,802,4,26
191,3700,1661,803,9,43
192,3701,1661,798,6,26
193,3701,1661,799,1,20
194,3701,1661,800,8,29
195,3701,1661,801,2,29
196,3701,1661,802,7,29
197,3701,1661,803,7,27
198,3702,1661,798,4,19
199,3702,1661,799,4,17
200,3702,1661,800,9,42
201,3702,1661,801,8,19
202,3702,1661,802,6,43
203,3702,1661,803,9,19
204,3703,1661,798,9,47
205,3703,1661,799,4,36
206,3703,1661,800,4,33
207,3703,1661,801,0,18
208,3703,1661,802,2,19
209,3703,1661,803,6,39
210,3704,1661,798,5,28
211,3704,1661,799,5,36
212,3704,1661,800,1,13
213,3704,1661,801,7,17
214,3704,1661,802,2,31
215,3704,1661,803,6,45
216,3705,1662,835,0,30
217,3705,1662,836,1,40
218,3705,1662,838,2,40
219,3705,1662,839,8,37
220,3705,1662,841,0,20
221,3705,1662,842,5,44
222,3705,1662,843,6,37
223,3705,1662,845,9,26
224,3705,1662,846,3,30
225,3705,1662,847,5,35
226,3705,1662,849,5,27
227,3705,1662,850,3,28
228,3705,1662,851,3,17
229,3705,1662,853,6,45
230,3705,1662,854,5,37
231,3705,1662,855,2,16
232,3705,1662,857,8,28
233,3705,1662,858,6,28
234,3705,1662,859,7,40
235,3705,1662,804,8,41
236,3705,1662,805,9,35
237,3705,1662,806,1,21
238,3705,1662,860,3,14
239,3705,1662,861,4,23
240,3705,1662,862,6,17
241,3705,1662,807,5,35
242,3705,1662,808,4,22
243,3705,1662,809,4,21
244,3706,1663,798,1,37
245,3706,1663,799,7,21
246,3706,1663,800,2,38
247,3706,1663,801,3,26
248,3706,1663,802,7,38
249,3706,1663,803,7,37
250,3707,1663,798,0,23
251,3707,1663,799,1,16
252,3707,1663,800,5,41
253,3707,1663,801,4,35
254,3707,1663,802,0,28
255,3707,1663,803,6,24
256,3708,1664,877,6,23
257,3708,1664,878,9,37
258,3708,1664,870,3,39
259,3708,1664,872,0,33
260,3708,1664,874,9,24
261,3708,1664,876,8,40
262,3708,1664,879,2,21
263,3709,1665,798,3,14
264,3709,1665,799,8,21
265,3709,1665,800,7,30
266,3709,1665,801,9,27
267,3709,1665,802,0,37
268,3709,1665,803,4,26
269,3710,1666,798,1,12
270,3710,1666,799,2,22
271,3710,1666,800,1,19
272,3710,1666,801,1,35
273,3710,1666,802,2,39
274,3710,1666,803,4,36
275,3711,1666,798,3,25
276,3711,1666,799,9,38
277,3711,1666,800,3,31
278,3711,1666,801,2,28
279,3711,1666,802,4,19
280,3711,1666,803,5,33
281,3712,1666,798,9,33
282,3712,1666,799,1,33
283,3712,1666,800,4,14
284,3712,1666,801,5,20
285,3712,1666,802,3,37
286,3712,1666,803,6,17
287,3713,1667,896,0,23
288,3713,1667,897,7,30
289,3713,1667,898,5,19
290,3713,1667,899,4,30
291,3713,1667,900,8,26
292,3713,1667,901,1,27
293,3713,1667,902,5,26
294,3714,1668,877,4,37
295,3714,1668,878,8,29
296,3714,1668,870,9,31
297,3714,1668,872,9,39
298,3714,1668,874,8,40
299,3714,1668,876,7,23
300,3714,1668,879,3,20
301,3715,1668,877,0,15
302,3715,1668,878,0,30
303,3715,1668,870,3,17
304,3715,1668,872,8,47
305,3715,1668,874,0,15
306,3715,1668,876,3,13
307,3715,1668,879,5,15
308,3716,1668,877,5,38
309,3716,1668,878,1,37
310,3716,1668,870,0,26
311,3716,1668,872,9,23
312,3716,1668,874,2,14
313,3716,1668,876,2,32
314,3716,1668,879,4,33
315,3717,1669,798,0,17
316,3717,1669,799,6,23
317,3717,1669,800,1,15
318,3717,1669,801,6,43
319,3717,1669,802,9,33
320,3717,1669,803,7,38
321,3718,1669,798,2,31
322,3718,1669,799,0,12
323,3718,1669,800,5,30
324,3718,1669,801,6,36
325,3718,1669,802,9,38
326,3718,1669,803,7,34
327,3719,1670,798,8,34
328,3719,1670,799,5,15
329,3719,1670,800,3,19
330,3719,1670,801,6,34
331,3719,1670,802,2,39
332,3719,1670,803,3,21
333,3720,1670,798,6,32
334,3720,1670,799,0,30
335,3720,1670,800,3,34
336,3720,1670,801,4,30
337,3720,1670,802,5,43
338,3720,1670,803,7,22
339,3721,1670,798,1,29
340,3721,1670,799,9,39
341,3721,1670,800,8,35
342,3721,1670,801,0,26
343,3721,1670,802,1,14
344,3721,1670,803,8,25
345,3722,1671,798,9,45
346,3722,1671,799,6,35
347,3722,1671,800,8,27
348,3722,1671,801,7,45
349,3722,1671,802,4,27
350,3722,1671,803,2,36
351,3723,1671,798,2,13
352,3723,1671,799,2,21
353,3723,1671,800,2,16
354,3723,1671,801,2,40
355,3723,1671,802,6,36
356,3723,1671,803,8,45
357,3724,1671,798,3,38
358,3724,1671,799,1,33
