#,id,created_by,created_date,modified_by,modified_date,color_name,description,color_link,modifie_by
1,4091,quangtinh,2020-10-02 14:52:15,,2020-10-02 14:52:15,DARK GREEN,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I306_304_74.jfif,quangtinh
2,4058,quangtinh,2020-10-02 14:45:46,,2020-10-02 14:45:46,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EO1I308_003_74.jfif,quangtinh
3,4059,quangtinh,2020-10-02 14:45:58,,2020-10-02 14:45:58,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090EO1I319_003_74.jfif,quangtinh
4,4060,quangtinh,2020-10-02 14:46:13,,2020-10-02 14:46:13,OFF WHITE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\070EO1I302_114_74.jfif,quangtinh
5,4061,quangtinh,2020-10-02 14:46:29,,2020-10-02 14:46:29,LIGHT GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090CC1I308_044_74.jfif,quangtinh
6,4062,quangtinh,2020-10-02 14:46:35,,2020-10-02 14:46:35,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090CC1I308_001_74.jfif,quangtinh
7,4063,quangtinh,2020-10-02 14:46:54,,2020-10-02 14:46:54,OFF WHITE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EO1I311_110_74.jfif,quangtinh
8,4064,quangtinh,2020-10-02 14:46:59,,2020-10-02 14:46:59,RUST ORANGE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EO1I311_810_74.jfif,quangtinh
9,4065,quangtinh,2020-10-02 14:47:21,,2020-10-02 14:47:21,BEIGE,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\090EE1I313_274_74.jfif,quangtinh
10,4066,quangtinh,2020-10-02 14:47:27,,2020-10-02 14:47:27,LIGHT GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\090EE1I313_044_74.jfif,quangtinh
11,4067,quangtinh,2020-10-02 14:47:46,,2020-10-02 14:47:46,NAVY,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\080EE1I306_400_74.jfif,quangtinh
12,4068,quangtinh,2020-10-02 14:47:51,,2020-10-02 14:47:51,CAMEL,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\080EE1I306_234_74.jfif,quangtinh
13,4069,quangtinh,2020-10-02 14:47:57,,2020-10-02 14:47:57,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\080EE1I306_001_74.jfif,quangtinh
14,4070,quangtinh,2020-10-02 14:48:02,,2020-10-02 14:48:02,GUNMETAL,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\080EE1I306_019_74.jfif,quangtinh
15,4071,quangtinh,2020-10-02 14:48:17,,2020-10-02 14:48:17,RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\090CC1I309_630_74.jfif,quangtinh
16,4072,quangtinh,2020-10-02 14:48:22,,2020-10-02 14:48:22,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\090CC1I309_001_74.jfif,quangtinh
17,4073,quangtinh,2020-10-02 14:48:47,,2020-10-02 14:48:47,SAND,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I308_285_74.jfif,quangtinh
18,4074,quangtinh,2020-10-02 14:48:56,,2020-10-02 14:48:56,PINK,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I308_674_74.jfif,quangtinh
19,4075,quangtinh,2020-10-02 14:49:05,,2020-10-02 14:49:05,KHAKI GREEN,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I308_354_74.jfif,quangtinh
20,4076,quangtinh,2020-10-02 14:49:13,,2020-10-02 14:49:13,AUBERGINE,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I308_515_74.jfif,quangtinh
21,4077,quangtinh,2020-10-02 14:49:20,,2020-10-02 14:49:20,LIGHT BLUE,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I308_444_74.jfif,quangtinh
22,4078,quangtinh,2020-10-02 14:49:38,,2020-10-02 14:49:38,NAVY,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\990CC1I305_400_74.jfif,quangtinh
23,4079,quangtinh,2020-10-02 14:49:44,,2020-10-02 14:49:44,KHAKI GREEN,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\990CC1I305_354_74.jfif,quangtinh
24,4080,quangtinh,2020-10-02 14:49:51,,2020-10-02 14:49:51,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\990CC1I305_001_74.jfif,quangtinh
25,4081,quangtinh,2020-10-02 14:50:22,,2020-10-02 14:50:22,RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\998EE1I803_632_74.jfif,quangtinh
26,4082,quangtinh,2020-10-02 14:50:30,,2020-10-02 14:50:30,DARK GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\998EE1I803_024_74.jfif,quangtinh
27,4083,quangtinh,2020-10-02 14:50:39,,2020-10-02 14:50:39,NAVY,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\998EE1I803_404_74.jfif,quangtinh
28,4084,quangtinh,2020-10-02 14:50:47,,2020-10-02 14:50:47,KHAKI GREEN,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\998EE1I803_354_74.jfif,quangtinh
29,4085,quangtinh,2020-10-02 14:50:55,,2020-10-02 14:50:55,LIGHT GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\998EE1I803_044_74.jfif,quangtinh
30,4086,quangtinh,2020-10-02 14:51:02,,2020-10-02 14:51:02,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\998EE1I803_001_74.jfif,quangtinh
31,4087,quangtinh,2020-10-02 14:51:42,,2020-10-02 14:51:42,RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I306_630_74.jfif,quangtinh
32,4088,quangtinh,2020-10-02 14:51:49,,2020-10-02 14:51:49,DARK TEAL GREEN,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I306_375_74.jfif,quangtinh
33,4089,quangtinh,2020-10-02 14:51:56,,2020-10-02 14:51:56,LIGHT PINK,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I306_690_74.jfif,quangtinh
34,4090,quangtinh,2020-10-02 14:52:03,,2020-10-02 14:52:03,AUBERGINE,,\assets\img\woman\Clothes\Jumpers & cardigans\Cardigans\070CC1I306_515_74.jfif,quangtinh
35,3959,quangtinh,2020-10-02 14:28:16,,2020-10-02 14:28:16,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090CC1I305_001_74.jfif,quangtinh
36,3960,quangtinh,2020-10-02 14:28:35,,2020-10-02 14:28:35,SAND,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\990EE1I308_285_74.jfif,quangtinh
37,3961,quangtinh,2020-10-02 14:28:42,,2020-10-02 14:28:42,NAVY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\990EE1I308_400_74.jfif,quangtinh
38,3962,quangtinh,2020-10-02 14:28:52,,2020-10-02 14:28:52,LIGHT GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\990EE1I308_044_74.jfif,quangtinh
39,3963,quangtinh,2020-10-02 14:29:20,,2020-10-02 14:29:20,RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090EE1I307_630_74.jfif,quangtinh
40,3964,quangtinh,2020-10-02 14:29:26,,2020-10-02 14:29:26,SAND,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090EE1I307_289_74.jfif,quangtinh
41,3965,quangtinh,2020-10-02 14:29:31,,2020-10-02 14:29:31,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090EE1I307_001_74.jfif,quangtinh
42,3966,quangtinh,2020-10-02 14:29:35,,2020-10-02 14:29:35,LIGHT BLUE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090EE1I307_444_74.jfif,quangtinh
43,3967,quangtinh,2020-10-02 14:29:43,,2020-10-02 14:29:43,BROWN,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\090EE1I307_214_74.jfif,quangtinh
44,3968,quangtinh,2020-10-02 14:30:14,,2020-10-02 14:30:14,SAND,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_287_74.jfif,quangtinh
45,3969,quangtinh,2020-10-02 14:30:20,,2020-10-02 14:30:20,NAVY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_404_74.jfif,quangtinh
46,3970,quangtinh,2020-10-02 14:30:26,,2020-10-02 14:30:26,RUST ORANGE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_810_74.jfif,quangtinh
47,3971,quangtinh,2020-10-02 14:30:31,,2020-10-02 14:30:31,BEIGE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_274_74.jfif,quangtinh
48,3972,quangtinh,2020-10-02 14:30:37,,2020-10-02 14:30:37,OLIVE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_364_74.jfif,quangtinh
49,3973,quangtinh,2020-10-02 14:30:43,,2020-10-02 14:30:43,LIGHT BLUE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_444_74.jfif,quangtinh
50,3974,quangtinh,2020-10-02 14:30:49,,2020-10-02 14:30:49,GUNMETAL,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_019_74.jfif,quangtinh
51,3975,quangtinh,2020-10-02 14:30:55,,2020-10-02 14:30:55,BROWN,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I327_214_74.jfif,quangtinh
52,3976,quangtinh,2020-10-02 14:31:37,,2020-10-02 14:31:37,RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_630_74.jfif,quangtinh
53,3977,quangtinh,2020-10-02 14:31:42,,2020-10-02 14:31:42,DARK GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_024_74.jfif,quangtinh
54,3978,quangtinh,2020-10-02 14:31:50,,2020-10-02 14:31:50,SAND,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_289_74.jfif,quangtinh
55,3979,quangtinh,2020-10-02 14:31:56,,2020-10-02 14:31:56,NAVY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_400_74.jfif,quangtinh
56,3980,quangtinh,2020-10-02 14:32:01,,2020-10-02 14:32:01,TAUPE,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_244_74.jfif,quangtinh
57,3981,quangtinh,2020-10-02 14:32:08,,2020-10-02 14:32:08,KHAKI GREEN,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_354_74.jfif,quangtinh
58,3982,quangtinh,2020-10-02 14:32:14,,2020-10-02 14:32:14,BRASS YELLOW,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_720_74.jfif,quangtinh
59,3983,quangtinh,2020-10-02 14:32:20,,2020-10-02 14:32:20,LIGHT GREY,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_044_74.jfif,quangtinh
60,3984,quangtinh,2020-10-02 14:32:26,,2020-10-02 14:32:26,BLACK,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_001_74.jfif,quangtinh
61,3985,quangtinh,2020-10-02 14:32:31,,2020-10-02 14:32:31,YELLOW,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_750_74.jfif,quangtinh
62,3986,quangtinh,2020-10-02 14:32:36,,2020-10-02 14:32:36,GUNMETAL,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\999CC1I802_019_74.jfif,quangtinh
63,3987,quangtinh,2020-10-02 14:33:03,,2020-10-02 14:33:03,RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I332_630_74.jfif,quangtinh
64,3988,quangtinh,2020-10-02 14:33:08,,2020-10-02 14:33:08,BORDEAUX RED,,\assets\img\woman\Clothes\Jumpers & cardigans\Jumpers\080EE1I332_600_74.jfif,quangtinh
