#,id,created_by,created_date,modified_by,modified_date,image_link,product_id,modifie_by
1,7492,quangtinh,2020-10-02 13:40:24,,2020-10-02 13:40:24,\assets\img\woman\Clothes\New Season\080EE1I328_404_74.jfif,1655,quangtinh
2,7493,quangtinh,2020-10-02 13:40:24,,2020-10-02 13:40:24,\assets\img\woman\Clothes\New Season\080EE1I328_404_10.jfif,1655,quangtinh
3,7494,quangtinh,2020-10-02 13:40:25,,2020-10-02 13:40:25,\assets\img\woman\Clothes\New Season\080EE1I328_810_74.jfif,1655,quangtinh
4,7495,quangtinh,2020-10-02 13:40:25,,2020-10-02 13:40:25,\assets\img\woman\Clothes\New Season\080EE1I328_810_10.jfif,1655,quangtinh
5,7496,quangtinh,2020-10-02 13:40:26,,2020-10-02 13:40:26,\assets\img\woman\Clothes\New Season\080EE1I328_274_74.jfif,1655,quangtinh
6,7497,quangtinh,2020-10-02 13:40:26,,2020-10-02 13:40:26,\assets\img\woman\Clothes\New Season\080EE1I328_274_10.jfif,1655,quangtinh
7,7498,quangtinh,2020-10-02 13:40:27,,2020-10-02 13:40:27,\assets\img\woman\Clothes\New Season\080EE1I328_364_74.jfif,1655,quangtinh
8,7499,quangtinh,2020-10-02 13:40:27,,2020-10-02 13:40:27,\assets\img\woman\Clothes\New Season\080EE1I328_364_10.jfif,1655,quangtinh
9,7500,quangtinh,2020-10-02 13:40:27,,2020-10-02 13:40:27,\assets\img\woman\Clothes\New Season\080EE1I328_724_74.jfif,1655,quangtinh
10,7501,quangtinh,2020-10-02 13:40:27,,2020-10-02 13:40:27,\assets\img\woman\Clothes\New Season\080EE1I328_724_10.jfif,1655,quangtinh
11,7502,quangtinh,2020-10-02 13:40:28,,2020-10-02 13:40:28,\assets\img\woman\Clothes\New Season\080EE1I328_001_74.jfif,1655,quangtinh
12,7503,quangtinh,2020-10-02 13:40:28,,2020-10-02 13:40:28,\assets\img\woman\Clothes\New Season\080EE1I328_001_10.jfif,1655,quangtinh
13,7504,quangtinh,2020-10-02 13:40:29,,2020-10-02 13:40:29,\assets\img\woman\Clothes\New Season\080EE1I328_444_74.jfif,1655,quangtinh
14,7505,quangtinh,2020-10-02 13:40:29,,2020-10-02 13:40:29,\assets\img\woman\Clothes\New Season\080EE1I328_444_10.jfif,1655,quangtinh
15,7506,quangtinh,2020-10-02 13:40:30,,2020-10-02 13:40:30,\assets\img\woman\Clothes\New Season\080EE1I328_214_74.jfif,1655,quangtinh
16,7507,quangtinh,2020-10-02 13:40:30,,2020-10-02 13:40:30,\assets\img\woman\Clothes\New Season\080EE1I328_214_10.jfif,1655,quangtinh
17,7508,quangtinh,2020-10-02 13:40:42,,2020-10-02 13:40:42,\assets\img\woman\Clothes\New Season\999CC1B820_903_74.jfif,1656,quangtinh
18,7509,quangtinh,2020-10-02 13:40:42,,2020-10-02 13:40:42,\assets\img\woman\Clothes\New Season\999CC1B820_903_10.jfif,1656,quangtinh
19,7510,quangtinh,2020-10-02 13:40:43,,2020-10-02 13:40:43,\assets\img\woman\Clothes\New Season\999CC1B820_902_74.jfif,1656,quangtinh
20,7511,quangtinh,2020-10-02 13:40:43,,2020-10-02 13:40:43,\assets\img\woman\Clothes\New Season\999CC1B820_902_10.jfif,1656,quangtinh
21,7512,quangtinh,2020-10-02 13:40:54,,2020-10-02 13:40:54,\assets\img\woman\Clothes\New Season\090EE1G326_299_74.jfif,1657,quangtinh
22,7513,quangtinh,2020-10-02 13:40:54,,2020-10-02 13:40:54,\assets\img\woman\Clothes\New Season\090EE1G326_299_10.jfif,1657,quangtinh
23,7514,quangtinh,2020-10-02 13:40:55,,2020-10-02 13:40:55,\assets\img\woman\Clothes\New Season\090EE1G326_004_74.jfif,1657,quangtinh
24,7515,quangtinh,2020-10-02 13:40:55,,2020-10-02 13:40:55,\assets\img\woman\Clothes\New Season\090EE1G326_004_10.jfif,1657,quangtinh
25,7516,quangtinh,2020-10-02 13:41:24,,2020-10-02 13:41:24,\assets\img\woman\Clothes\New Season\090EO1I322_710_74.jfif,1658,quangtinh
26,7517,quangtinh,2020-10-02 13:41:24,,2020-10-02 13:41:24,\assets\img\woman\Clothes\New Season\090EO1I322_710_10.jfif,1658,quangtinh
27,7518,quangtinh,2020-10-02 13:41:25,,2020-10-02 13:41:25,\assets\img\woman\Clothes\New Season\090EO1I322_810_74.jfif,1658,quangtinh
28,7519,quangtinh,2020-10-02 13:41:25,,2020-10-02 13:41:25,\assets\img\woman\Clothes\New Season\090EO1I322_810_10.jfif,1658,quangtinh
29,7520,quangtinh,2020-10-02 13:41:26,,2020-10-02 13:41:26,\assets\img\woman\Clothes\New Season\090EO1I322_225_74.jfif,1658,quangtinh
30,7521,quangtinh,2020-10-02 13:41:26,,2020-10-02 13:41:26,\assets\img\woman\Clothes\New Season\090EO1I322_225_10.jfif,1658,quangtinh
31,7522,quangtinh,2020-10-02 13:41:27,,2020-10-02 13:41:27,\assets\img\woman\Clothes\New Season\090EO1I322_001_74.jfif,1658,quangtinh
32,7523,quangtinh,2020-10-02 13:41:27,,2020-10-02 13:41:27,\assets\img\woman\Clothes\New Season\090EO1I322_001_10.jfif,1658,quangtinh
33,7524,quangtinh,2020-10-02 13:41:34,,2020-10-02 13:41:34,\assets\img\woman\Clothes\New Season\090EE1E318_901_74.jfif,1659,quangtinh
34,7525,quangtinh,2020-10-02 13:41:34,,2020-10-02 13:41:34,\assets\img\woman\Clothes\New Season\090EE1E318_901_10.jfif,1659,quangtinh
35,7526,quangtinh,2020-10-02 13:41:44,,2020-10-02 13:41:44,\assets\img\woman\Clothes\New Season\090EK1W321_225_74.jfif,1660,quangtinh
36,7527,quangtinh,2020-10-02 13:41:44,,2020-10-02 13:41:44,\assets\img\woman\Clothes\New Season\090EK1W321_225_30.jfif,1660,quangtinh
37,7528,quangtinh,2020-10-02 13:41:45,,2020-10-02 13:41:45,\assets\img\woman\Clothes\New Season\090EK1W321_001_74.jfif,1660,quangtinh
38,7529,quangtinh,2020-10-02 13:41:45,,2020-10-02 13:41:45,\assets\img\woman\Clothes\New Season\090EK1W321_001_30.jfif,1660,quangtinh
39,7530,quangtinh,2020-10-02 13:42:22,,2020-10-02 13:42:22,\assets\img\woman\Clothes\New Season\080EO1I314_714_74.jfif,1661,quangtinh
40,7531,quangtinh,2020-10-02 13:42:22,,2020-10-02 13:42:22,\assets\img\woman\Clothes\New Season\080EO1I314_714_10.jfif,1661,quangtinh
41,7532,quangtinh,2020-10-02 13:42:23,,2020-10-02 13:42:23,\assets\img\woman\Clothes\New Season\080EO1I314_604_74.jfif,1661,quangtinh
42,7533,quangtinh,2020-10-02 13:42:23,,2020-10-02 13:42:23,\assets\img\woman\Clothes\New Season\080EO1I314_604_10.jfif,1661,quangtinh
43,7534,quangtinh,2020-10-02 13:42:24,,2020-10-02 13:42:24,\assets\img\woman\Clothes\New Season\080EO1I314_814_74.jfif,1661,quangtinh
44,7535,quangtinh,2020-10-02 13:42:24,,2020-10-02 13:42:24,\assets\img\woman\Clothes\New Season\080EO1I314_814_10.jfif,1661,quangtinh
45,7536,quangtinh,2020-10-02 13:42:24,,2020-10-02 13:42:24,\assets\img\woman\Clothes\New Season\080EO1I314_364_74.jfif,1661,quangtinh
46,7537,quangtinh,2020-10-02 13:42:24,,2020-10-02 13:42:24,\assets\img\woman\Clothes\New Season\080EO1I314_364_10.jfif,1661,quangtinh
47,7538,quangtinh,2020-10-02 13:42:25,,2020-10-02 13:42:25,\assets\img\woman\Clothes\New Season\080EO1I314_229_74.jfif,1661,quangtinh
48,7539,quangtinh,2020-10-02 13:42:25,,2020-10-02 13:42:25,\assets\img\woman\Clothes\New Season\080EO1I314_229_10.jfif,1661,quangtinh
49,7540,quangtinh,2020-10-02 13:42:25,,2020-10-02 13:42:25,\assets\img\woman\Clothes\New Season\080EO1I314_059_74.jfif,1661,quangtinh
50,7541,quangtinh,2020-10-02 13:42:25,,2020-10-02 13:42:25,\assets\img\woman\Clothes\New Season\080EO1I314_059_10.jfif,1661,quangtinh
51,7542,quangtinh,2020-10-02 13:42:26,,2020-10-02 13:42:26,\assets\img\woman\Clothes\New Season\080EO1I314_001_74.jfif,1661,quangtinh
52,7543,quangtinh,2020-10-02 13:42:26,,2020-10-02 13:42:26,\assets\img\woman\Clothes\New Season\080EO1I314_001_10.jfif,1661,quangtinh
53,7544,quangtinh,2020-10-02 13:42:27,,2020-10-02 13:42:27,\assets\img\woman\Clothes\New Season\080EO1I314_444_74.jfif,1661,quangtinh
54,7545,quangtinh,2020-10-02 13:42:27,,2020-10-02 13:42:27,\assets\img\woman\Clothes\New Season\080EO1I314_444_10.jfif,1661,quangtinh
55,7546,quangtinh,2020-10-02 13:42:27,,2020-10-02 13:42:27,\assets\img\woman\Clothes\New Season\080EO1I314_019_74.jfif,1661,quangtinh
56,7547,quangtinh,2020-10-02 13:42:27,,2020-10-02 13:42:27,\assets\img\woman\Clothes\New Season\080EO1I314_019_10.jfif,1661,quangtinh
57,7548,quangtinh,2020-10-02 13:42:37,,2020-10-02 13:42:37,\assets\img\woman\Clothes\New Season\070EE1B301_900_74.jfif,1662,quangtinh
58,7549,quangtinh,2020-10-02 13:42:37,,2020-10-02 13:42:37,\assets\img\woman\Clothes\New Season\070EE1B301_900_10.jfif,1662,quangtinh
59,7550,quangtinh,2020-10-02 13:42:54,,2020-10-02 13:42:54,\assets\img\woman\Clothes\New Season\090EO1K312_230_74.jfif,1663,quangtinh
60,7551,quangtinh,2020-10-02 13:42:54,,2020-10-02 13:42:54,\assets\img\woman\Clothes\New Season\090EO1K312_230_10.jfif,1663,quangtinh
61,7552,quangtinh,2020-10-02 13:42:54,,2020-10-02 13:42:54,\assets\img\woman\Clothes\New Season\090EO1K312_225_74.jfif,1663,quangtinh
62,7553,quangtinh,2020-10-02 13:42:54,,2020-10-02 13:42:54,\assets\img\woman\Clothes\New Season\090EO1K312_225_10.jfif,1663,quangtinh
63,7554,quangtinh,2020-10-02 13:43:02,,2020-10-02 13:43:02,\assets\img\woman\Clothes\New Season\090EO1B306_001_74.jfif,1664,quangtinh
64,7555,quangtinh,2020-10-02 13:43:02,,2020-10-02 13:43:02,\assets\img\woman\Clothes\New Season\090EO1B306_001_10.jfif,1664,quangtinh
65,7556,quangtinh,2020-10-02 13:43:09,,2020-10-02 13:43:09,\assets\img\woman\Clothes\New Season\080EO1G313_220_74.jfif,1665,quangtinh
66,7557,quangtinh,2020-10-02 13:43:09,,2020-10-02 13:43:09,\assets\img\woman\Clothes\New Season\080EO1G313_220_10.jfif,1665,quangtinh
67,7558,quangtinh,2020-10-02 13:43:25,,2020-10-02 13:43:25,\assets\img\woman\Clothes\New Season\090EO1G344_400_74.jfif,1666,quangtinh
68,7559,quangtinh,2020-10-02 13:43:25,,2020-10-02 13:43:25,\assets\img\woman\Clothes\New Season\090EO1G344_400_10.jfif,1666,quangtinh
69,7560,quangtinh,2020-10-02 13:43:26,,2020-10-02 13:43:26,\assets\img\woman\Clothes\New Season\090EO1G344_375_74.jfif,1666,quangtinh
70,7561,quangtinh,2020-10-02 13:43:26,,2020-10-02 13:43:26,\assets\img\woman\Clothes\New Season\090EO1G344_375_10.jfif,1666,quangtinh
71,7562,quangtinh,2020-10-02 13:43:27,,2020-10-02 13:43:27,\assets\img\woman\Clothes\New Season\090EO1G344_001_74.jfif,1666,quangtinh
72,7563,quangtinh,2020-10-02 13:43:27,,2020-10-02 13:43:27,\assets\img\woman\Clothes\New Season\090EO1G344_001_10.jfif,1666,quangtinh
73,7564,quangtinh,2020-10-02 13:43:33,,2020-10-02 13:43:33,\assets\img\woman\Clothes\New Season\090EE1B309_210_74.jfif,1667,quangtinh
74,7565,quangtinh,2020-10-02 13:43:33,,2020-10-02 13:43:33,\assets\img\woman\Clothes\New Season\090EE1B309_210_10.jfif,1667,quangtinh
75,7566,quangtinh,2020-10-02 13:43:46,,2020-10-02 13:43:46,\assets\img\woman\Clothes\New Season\090EO1F311_110_74.jfif,1668,quangtinh
76,7567,quangtinh,2020-10-02 13:43:46,,2020-10-02 13:43:46,\assets\img\woman\Clothes\New Season\090EO1F311_110_10.jfif,1668,quangtinh
77,7568,quangtinh,2020-10-02 13:43:47,,2020-10-02 13:43:47,\assets\img\woman\Clothes\New Season\090EO1F311_225_74.jfif,1668,quangtinh
78,7569,quangtinh,2020-10-02 13:43:47,,2020-10-02 13:43:47,\assets\img\woman\Clothes\New Season\090EO1F311_225_10.jfif,1668,quangtinh
79,7570,quangtinh,2020-10-02 13:43:47,,2020-10-02 13:43:47,\assets\img\woman\Clothes\New Season\090EO1F311_001_74.jfif,1668,quangtinh
80,7571,quangtinh,2020-10-02 13:43:47,,2020-10-02 13:43:47,\assets\img\woman\Clothes\New Season\090EO1F311_001_10.jfif,1668,quangtinh
81,7572,quangtinh,2020-10-02 13:43:59,,2020-10-02 13:43:59,\assets\img\woman\Clothes\New Season\090EO1E304_225_74.jfif,1669,quangtinh
82,7573,quangtinh,2020-10-02 13:44:00,,2020-10-02 13:44:00,\assets\img\woman\Clothes\New Season\090EO1E304_225_10.jfif,1669,quangtinh
83,7574,quangtinh,2020-10-02 13:44:00,,2020-10-02 13:44:00,\assets\img\woman\Clothes\New Season\090EO1E304_001_74.jfif,1669,quangtinh
84,7575,quangtinh,2020-10-02 13:44:00,,2020-10-02 13:44:00,\assets\img\woman\Clothes\New Season\090EO1E304_001_10.jfif,1669,quangtinh
85,7576,quangtinh,2020-10-02 13:44:17,,2020-10-02 13:44:17,\assets\img\woman\Clothes\New Season\090EE1K309_400_74.jfif,1670,quangtinh
86,7577,quangtinh,2020-10-02 13:44:17,,2020-10-02 13:44:17,\assets\img\woman\Clothes\New Season\090EE1K309_400_10.jfif,1670,quangtinh
87,7578,quangtinh,2020-10-02 13:44:18,,2020-10-02 13:44:18,\assets\img\woman\Clothes\New Season\090EE1K309_019_74.jfif,1670,quangtinh
88,7579,quangtinh,2020-10-02 13:44:18,,2020-10-02 13:44:18,\assets\img\woman\Clothes\New Season\090EE1K309_019_10.jfif,1670,quangtinh
89,7580,quangtinh,2020-10-02 13:44:19,,2020-10-02 13:44:19,\assets\img\woman\Clothes\New Season\090EE1K309_210_74.jfif,1670,quangtinh
90,7581,quangtinh,2020-10-02 13:44:19,,2020-10-02 13:44:19,\assets\img\woman\Clothes\New Season\090EE1K309_210_10.jfif,1670,quangtinh
91,7582,quangtinh,2020-10-02 13:45:18,,2020-10-02 13:45:18,\assets\img\woman\Clothes\New Season\090EE1K301_603_74.jfif,1671,quangtinh
92,7583,quangtinh,2020-10-02 13:45:18,,2020-10-02 13:45:18,\assets\img\woman\Clothes\New Season\090EE1K301_603_10.jfif,1671,quangtinh
93,7584,quangtinh,2020-10-02 13:45:21,,2020-10-02 13:45:21,\assets\img\woman\Clothes\New Season\090EE1K301_400_74.jfif,1671,quangtinh
94,7585,quangtinh,2020-10-02 13:45:21,,2020-10-02 13:45:21,\assets\img\woman\Clothes\New Season\090EE1K301_400_10.jfif,1671,quangtinh
95,7586,quangtinh,2020-10-02 13:45:22,,2020-10-02 13:45:22,\assets\img\woman\Clothes\New Season\090EE1K301_110_74.jfif,1671,quangtinh
