#,id,created_by,created_date,modified_by,modified_date,description,size_type,modifie_by
1,798,quangtinh,2020-08-24 19:48:47,quangtinh,2020-08-24 19:48:47,,XS,
2,799,quangtinh,2020-08-24 19:48:47,quangtinh,2020-08-24 19:48:47,,S,
3,800,quangtinh,2020-08-24 19:48:47,quangtinh,2020-08-24 19:48:47,,M,
4,801,quangtinh,2020-08-24 19:48:47,quangtinh,2020-08-24 19:48:47,,L,
5,802,quangtinh,2020-08-24 19:48:47,quangtinh,2020-08-24 19:48:47,,XL,
6,803,quangtinh,2020-08-24 19:48:47,quangtinh,2020-08-24 19:48:48,,XXL,
7,804,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,32/30,
8,805,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,32/32,
9,806,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,32/34,
10,807,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,34/30,
11,808,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,34/32,
12,809,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,34/34,
13,810,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,36/30,
14,811,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,36/32,
15,812,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,36/34,
16,813,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,38/30,
17,814,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,38/32,
18,815,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,38/34,
19,816,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,40/30,
20,817,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,40/32,
21,818,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,40/34,
22,819,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,42/30,
23,820,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,42/32,
24,821,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,42/34,
25,822,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,44/30,
26,823,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,44/32,
27,824,quangtinh,2020-08-24 19:49:02,quangtinh,2020-08-24 19:49:02,,44/34,
28,825,quangtinh,2020-08-24 19:49:24,quangtinh,2020-08-24 19:49:24,,ONE SIZE,
29,826,quangtinh,2020-08-24 19:49:42,quangtinh,2020-08-24 19:49:42,,XXS,
30,827,quangtinh,2020-08-24 19:50:00,quangtinh,2020-08-24 19:50:00,,30/28,
31,828,quangtinh,2020-08-24 19:50:00,quangtinh,2020-08-24 19:50:00,,32/28,
32,829,quangtinh,2020-08-24 19:50:00,quangtinh,2020-08-24 19:50:00,,34/28,
33,830,quangtinh,2020-08-24 19:50:00,quangtinh,2020-08-24 19:50:00,,36/28,
34,831,quangtinh,2020-08-24 19:50:00,quangtinh,2020-08-24 19:50:00,,38/28,
35,832,quangtinh,2020-08-24 19:50:00,quangtinh,2020-08-24 19:50:00,,40/28,
